county,model_year,registrations
Adams,2014,1
Asotin,2014,1
Asotin,2021,1
Asotin,2023,1
Benton,2012,3
Benton,2013,1
Benton,2014,2
Benton,2016,2
Benton,2017,1
Benton,2018,1
Benton,2019,1
Benton,2020,4
Benton,2021,2
Benton,2022,6
Benton,2023,6
Chelan,2016,1
Chelan,2017,1
Chelan,2018,2
Chelan,2019,2
Chelan,2020,2
Chelan,2021,1
Chelan,2023,2
Clallam,1998,1
Clallam,2002,1
Clallam,2013,1
Clallam,2018,1
Clallam,2019,2
Clallam,2020,2
Clallam,2021,1
Clallam,2022,1
Clallam,2023,5
Clark,2010,1
Clark,2011,4
Clark,2012,17
Clark,2013,28
Clark,2014,37
Clark,2015,52
Clark,2016,40
Clark,2017,58
Clark,2018,72
Clark,2019,63
Clark,2020,67
Clark,2021,123
Clark,2022,186
Clark,2023,150
Columbia,2016,1
Columbia,2023,1
Cowlitz,2011,2
Cowlitz,2012,3
Cowlitz,2014,1
Cowlitz,2015,4
Cowlitz,2016,4
Cowlitz,2017,4
Cowlitz,2018,4
Cowlitz,2019,5
Cowlitz,2020,8
Cowlitz,2021,11
Cowlitz,2022,19
Cowlitz,2023,20
Douglas,2018,1
Douglas,2022,1
Douglas,2023,1
Franklin,2013,1
Franklin,2014,1
Franklin,2015,2
Franklin,2020,1
Franklin,2021,1
Franklin,2023,1
Grant,2013,1
Grant,2014,1
Grant,2018,1
Grant,2020,1
Grant,2021,2
Grant,2022,4
Grant,2023,2
Grays Harbor,2012,1
Grays Harbor,2015,1
Grays Harbor,2016,1
Grays Harbor,2017,1
Grays Harbor,2021,4
Grays Harbor,2023,1
Harnett,2021,1
Island,2011,1
Island,2012,2
Island,2013,2
Island,2015,7
Island,2016,5
Island,2017,5
Island,2018,4
Island,2019,3
Island,2020,7
Island,2021,8
Island,2022,9
Island,2023,9
Jefferson,2011,2
Jefferson,2012,3
Jefferson,2013,4
Jefferson,2014,3
Jefferson,2015,4
Jefferson,2016,4
Jefferson,2017,7
Jefferson,2018,8
Jefferson,2019,8
Jefferson,2020,9
Jefferson,2021,7
Jefferson,2022,14
Jefferson,2023,19
King,2000,3
King,2002,1
King,2008,6
King,2010,8
King,2011,21
King,2012,91
King,2013,166
King,2014,182
King,2015,199
King,2016,291
King,2017,362
King,2018,446
King,2019,485
King,2020,479
King,2021,734
King,2022,1162
King,2023,1362
Kitsap,2008,2
Kitsap,2010,1
Kitsap,2011,1
Kitsap,2012,8
Kitsap,2013,20
Kitsap,2014,21
Kitsap,2015,27
Kitsap,2016,36
Kitsap,2017,39
Kitsap,2018,43
Kitsap,2019,34
Kitsap,2020,42
Kitsap,2021,69
Kitsap,2022,80
Kitsap,2023,87
Kittitas,2015,1
Kittitas,2016,1
Kittitas,2017,1
Kittitas,2019,1
Kittitas,2020,1
Kittitas,2021,1
Kittitas,2022,5
Kittitas,2023,2
Klickitat,2011,1
Klickitat,2015,1
Klickitat,2016,1
Klickitat,2019,2
Klickitat,2022,1
Klickitat,2023,1
Lake,2023,1
Lewis,2012,1
Lewis,2015,1
Lewis,2019,1
Lewis,2020,1
Lewis,2021,5
Lewis,2022,1
Lewis,2023,4
Maricopa,2022,1
Mason,2012,1
Mason,2014,2
Mason,2015,1
Mason,2016,1
Mason,2018,3
Mason,2019,1
Mason,2020,1
Mason,2021,2
Mason,2022,5
Mason,2023,2
New London,2022,1
Okanogan,2020,1
Okanogan,2021,1
Okanogan,2022,1
Okanogan,2023,2
Orange,2023,2
Pierce,1999,1
Pierce,2012,6
Pierce,2013,4
Pierce,2014,7
Pierce,2015,11
Pierce,2016,5
Pierce,2017,12
Pierce,2018,16
Pierce,2019,30
Pierce,2020,26
Pierce,2021,20
Pierce,2022,33
Pierce,2023,69
San Diego,2021,1
San Juan,2000,1
San Juan,2003,1
San Juan,2012,1
San Juan,2014,2
San Juan,2016,1
San Juan,2017,2
San Juan,2018,1
San Juan,2019,1
San Juan,2020,3
San Juan,2023,1
Skagit,1999,1
Skagit,2011,1
Skagit,2013,2
Skagit,2014,2
Skagit,2015,2
Skagit,2016,2
Skagit,2017,3
Skagit,2018,7
Skagit,2019,6
Skagit,2020,5
Skagit,2021,3
Skagit,2022,6
Skagit,2023,5
Skamania,2015,1
Skamania,2017,1
Skamania,2018,1
Skamania,2020,1
Snohomish,1997,1
Snohomish,2000,1
Snohomish,2010,1
Snohomish,2011,2
Snohomish,2012,12
Snohomish,2013,11
Snohomish,2014,26
Snohomish,2015,25
Snohomish,2016,30
Snohomish,2017,35
Snohomish,2018,42
Snohomish,2019,44
Snohomish,2020,56
Snohomish,2021,68
Snohomish,2022,105
Snohomish,2023,114
Spokane,2008,1
Spokane,2010,1
Spokane,2012,3
Spokane,2013,1
Spokane,2014,2
Spokane,2015,6
Spokane,2016,2
Spokane,2017,5
Spokane,2018,5
Spokane,2019,6
Spokane,2020,8
Spokane,2021,10
Spokane,2022,17
Spokane,2023,16
Stevens,2013,1
Stevens,2014,1
Stevens,2016,1
Stevens,2018,1
Stevens,2019,3
Stevens,2021,3
Stevens,2022,3
Stevens,2023,1
Thurston,2010,1
Thurston,2011,3
Thurston,2012,5
Thurston,2013,18
Thurston,2014,23
Thurston,2015,18
Thurston,2016,22
Thurston,2017,22
Thurston,2018,24
Thurston,2019,28
Thurston,2020,33
Thurston,2021,36
Thurston,2022,65
Thurston,2023,65
Walla Walla,2013,1
Walla Walla,2015,1
Walla Walla,2018,3
Walla Walla,2019,1
Walla Walla,2021,1
Walla Walla,2022,2
Walla Walla,2023,1
Whatcom,1999,1
Whatcom,2000,2
Whatcom,2011,2
Whatcom,2012,2
